,name,lowest_price/day,highest_price/day,lowest_price/month,highest_price/month,distance,address,link
0,เดอะแคมปัส อพาร์ทเม้นท์ ใกล้ ธรรมศาสตร์ รังสิต,,,"5,900","9,000",0.98,ถ.เชียงรากน้อย คลองหนึ่ง คลองหลวง ปทุมธานี,https://www.renthub.in.th//%E0%B9%80%E0%B8%94%E0%B8%AD%E0%B8%B0%E0%B9%81%E0%B8%84%E0%B8%A1%E0%B8%9B%E0%B8%B1%E0%B8%AA-%E0%B8%AD%E0%B8%9E%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%97%E0%B9%80%E0%B8%A1%E0%B9%89%E0%B8%99%E0%B8%97%E0%B9%8C-%E0%B9%83%E0%B8%81%E0%B8%A5%E0%B9%89-%E0%B8%98%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B8%A8%E0%B8%B2%E0%B8%AA%E0%B8%95%E0%B8%A3%E0%B9%8C-%E0%B8%A3%E0%B8%B1%E0%B8%87%E0%B8%AA%E0%B8%B4%E0%B8%95
1,"โปรโมชั่น เปิดใหม่ ไม่มีเงินประกัน 3,500 บ/ด.  ใกล้ม.ธรรมศาสตร์รังสิต ( ทียูแมนชั่น )",,,"3,500","3,500",0.72,ซ.นันทพร ถ.พหลโยธิน คลองหนึ่ง คลองหลวง ปทุมธานี,https://www.renthub.in.th//%E0%B9%82%E0%B8%9B%E0%B8%A3%E0%B9%82%E0%B8%A1%E0%B8%8A%E0%B8%B1%E0%B9%88%E0%B8%99-%E0%B9%80%E0%B8%9B%E0%B8%B4%E0%B8%94%E0%B9%83%E0%B8%AB%E0%B8%A1%E0%B9%88-%E0%B9%84%E0%B8%A1%E0%B9%88%E0%B8%A1%E0%B8%B5%E0%B9%80%E0%B8%87%E0%B8%B4%E0%B8%99%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B1%E0%B8%99-3-500-%E0%B8%9A-%E0%B8%94-%E0%B9%83%E0%B8%81%E0%B8%A5%E0%B9%89%E0%B8%A1-%E0%B8%98%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B8%A8%E0%B8%B2%E0%B8%AA%E0%B8%95%E0%B8%A3%E0%B9%8C%E0%B8%A3%E0%B8%B1%E0%B8%87%E0%B8%AA%E0%B8%B4%E0%B8%95-%E0%B8%97%E0%B8%B5%E0%B8%A2%E0%B8%B9%E0%B9%81%E0%B8%A1%E0%B8%99%E0%B8%8A%E0%B8%B1%E0%B9%88%E0%B8%99
2,นลมณีเพลส,,,"5,500","7,000",2.9,ถ.เลียบคลองเปรมประชากร บางพูด เมืองปทุมธานี ปทุมธานี,https://www.renthub.in.th//%E0%B8%99%E0%B8%A5%E0%B8%A1%E0%B8%93%E0%B8%B5%E0%B9%80%E0%B8%9E%E0%B8%A5%E0%B8%AA
3,BEST ROOM II (อพาร์ทเมนท์เปิดใหม่)ห่างจากมหาลัยกรุงเทพ7กิโล   ไม่มีรายวันนะคะ,800,900,"3,800","4,000",4.7,ซ.บงกช 11 คลองสอง คลองหลวง ปทุมธานี,https://www.renthub.in.th//best-room-ii-%E0%B8%AD%E0%B8%9E%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%97%E0%B9%80%E0%B8%A1%E0%B8%99%E0%B8%97%E0%B9%8C%E0%B9%80%E0%B8%9B%E0%B8%B4%E0%B8%94%E0%B9%83%E0%B8%AB%E0%B8%A1%E0%B9%88-%E0%B8%AB%E0%B9%88%E0%B8%B2%E0%B8%87%E0%B8%88%E0%B8%B2%E0%B8%81%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%A5%E0%B8%B1%E0%B8%A2%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E7%E0%B8%81%E0%B8%B4%E0%B9%82%E0%B8%A5-%E0%B9%84%E0%B8%A1%E0%B9%88%E0%B8%A1%E0%B8%B5%E0%B8%A3%E0%B8%B2%E0%B8%A2%E0%B8%A7%E0%B8%B1%E0%B8%99%E0%B8%99%E0%B8%B0%E0%B8%84%E0%B8%B0
4,Haus Private Residences ม.ธรรมศาสตร์ ศูนย์รังสิต,,,"7,500","7,900",0.75, คลองหนึ่ง คลองหลวง ปทุมธานี,https://www.renthub.in.th//haus-private-residences-%E0%B8%A1-%E0%B8%98%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B8%A8%E0%B8%B2%E0%B8%AA%E0%B8%95%E0%B8%A3%E0%B9%8C-%E0%B8%A8%E0%B8%B9%E0%B8%99%E0%B8%A2%E0%B9%8C%E0%B8%A3%E0%B8%B1%E0%B8%87%E0%B8%AA%E0%B8%B4%E0%B8%95
5,เดอะวินเนอร์แมนชั่น รังสิตภิรมย์UPDATE !,,,"4,500","8,500",3.8,ถ.พหลโยธิน คลองหนึ่ง คลองหลวง ปทุมธานี,https://www.renthub.in.th//%E0%B9%80%E0%B8%94%E0%B8%AD%E0%B8%B0%E0%B8%A7%E0%B8%B4%E0%B8%99%E0%B9%80%E0%B8%99%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B9%81%E0%B8%A1%E0%B8%99%E0%B8%8A%E0%B8%B1%E0%B9%88%E0%B8%99-%E0%B8%A3%E0%B8%B1%E0%B8%87%E0%B8%AA%E0%B8%B4%E0%B8%95%E0%B8%A0%E0%B8%B4%E0%B8%A3%E0%B8%A1%E0%B8%A2%E0%B9%8C
6,18-22 Residences ม.ธรรมศาสตร์ ศูนย์รังสิต,,,"6,500","17,900",0.83,ซ.Pattana Charoen ถ.เชียงราก คลองหนึ่ง คลองหลวง ปทุมธานี,https://www.renthub.in.th//18-22-residences-%E0%B8%A1-%E0%B8%98%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B8%A8%E0%B8%B2%E0%B8%AA%E0%B8%95%E0%B8%A3%E0%B9%8C-%E0%B8%A8%E0%B8%B9%E0%B8%99%E0%B8%A2%E0%B9%8C%E0%B8%A3%E0%B8%B1%E0%B8%87%E0%B8%AA%E0%B8%B4%E0%B8%95
7,"โปรโมชั่น เปิดใหม่ 3,800 บาทไม่มีเงินประกัน คลองหลวง 27 แมนชั่น",,,"3,800","3,800",2.7,ซ.คุณพระ ถ.คลองหลวง คลองหนึ่ง คลองหลวง ปทุมธานี,https://www.renthub.in.th//%E0%B9%82%E0%B8%9B%E0%B8%A3%E0%B9%82%E0%B8%A1%E0%B8%8A%E0%B8%B1%E0%B9%88%E0%B8%99-%E0%B9%80%E0%B8%9B%E0%B8%B4%E0%B8%94%E0%B9%83%E0%B8%AB%E0%B8%A1%E0%B9%88-3-800-%E0%B8%9A%E0%B8%B2%E0%B8%97%E0%B9%84%E0%B8%A1%E0%B9%88%E0%B8%A1%E0%B8%B5%E0%B9%80%E0%B8%87%E0%B8%B4%E0%B8%99%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B1%E0%B8%99-%E0%B8%84%E0%B8%A5%E0%B8%AD%E0%B8%87%E0%B8%AB%E0%B8%A5%E0%B8%A7%E0%B8%87-27-%E0%B9%81%E0%B8%A1%E0%B8%99%E0%B8%8A%E0%B8%B1%E0%B9%88%E0%B8%99
8,หอพัก เดอะวิสดอม อพาร์ทเมนท์ (The Wisdom Apartment),,,"7,000","12,000",0.92,ถ.เชียงราก คลองหนึ่ง คลองหลวง ปทุมธานี,https://www.renthub.in.th//%E0%B8%AB%E0%B8%AD%E0%B8%9E%E0%B8%B1%E0%B8%81-%E0%B9%80%E0%B8%94%E0%B8%AD%E0%B8%B0%E0%B8%A7%E0%B8%B4%E0%B8%AA%E0%B8%94%E0%B8%AD%E0%B8%A1-%E0%B8%AD%E0%B8%9E%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%97%E0%B9%80%E0%B8%A1%E0%B8%99%E0%B8%97%E0%B9%8C-the-wisdom-apartment
9,หอพัก วันดี ใกล้ ม.ธรรมศาสตร์รังสิต ซอยคลองหลวง 35 ไม่มีค่าประกัน เกือบติดรถเมล์ผ่าน UPDATE !,250,700,"1,000","4,000",1.2,ถ.พหลโยธิน คลองหนึ่ง คลองหลวง ปทุมธานี,https://www.renthub.in.th//%E0%B8%AB%E0%B8%AD%E0%B8%9E%E0%B8%B1%E0%B8%81-%E0%B8%A7%E0%B8%B1%E0%B8%99%E0%B8%94%E0%B8%B5-%E0%B9%83%E0%B8%81%E0%B8%A5%E0%B9%89-%E0%B8%A1-%E0%B8%98%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B8%A8%E0%B8%B2%E0%B8%AA%E0%B8%95%E0%B8%A3%E0%B9%8C%E0%B8%A3%E0%B8%B1%E0%B8%87%E0%B8%AA%E0%B8%B4%E0%B8%95-%E0%B8%8B%E0%B8%AD%E0%B8%A2%E0%B8%84%E0%B8%A5%E0%B8%AD%E0%B8%87%E0%B8%AB%E0%B8%A5%E0%B8%A7%E0%B8%87-35-%E0%B9%84%E0%B8%A1%E0%B9%88%E0%B8%A1%E0%B8%B5%E0%B8%84%E0%B9%88%E0%B8%B2%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B1%E0%B8%99-%E0%B9%80%E0%B8%81%E0%B8%B7%E0%B8%AD%E0%B8%9A%E0%B8%95%E0%B8%B4%E0%B8%94%E0%B8%A3%E0%B8%96%E0%B9%80%E0%B8%A1%E0%B8%A5%E0%B9%8C%E0%B8%9C%E0%B9%88%E0%B8%B2%E0%B8%99
10,บ้านแสงเดือนฉายUPDATE !,,,"5,500","5,500",4,ซ.รังสิตภิรมย์ ถ.พหลโยธิน คลองหนึ่ง คลองหลวง ปทุมธานี,https://www.renthub.in.th//%E0%B8%9A%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B9%81%E0%B8%AA%E0%B8%87%E0%B9%80%E0%B8%94%E0%B8%B7%E0%B8%AD%E0%B8%99%E0%B8%89%E0%B8%B2%E0%B8%A2--2
11,S.B.P. ปีรติ อพาร์ทเม้นต์  ซอยรัตนะ  ( คลองหลวง31 )UPDATE !,,,"1,800","3,500",1.6,ซ.คลองหลวง 31 ถ.พหลโยธิน คลองหนึ่ง คลองหลวง ปทุมธานี,https://www.renthub.in.th//s-b-p-%E0%B8%9B%E0%B8%B5%E0%B8%A3%E0%B8%95%E0%B8%B4-%E0%B8%AD%E0%B8%9E%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%97%E0%B9%80%E0%B8%A1%E0%B9%89%E0%B8%99%E0%B8%95%E0%B9%8C-%E0%B8%8B%E0%B8%AD%E0%B8%A2%E0%B8%A3%E0%B8%B1%E0%B8%95%E0%B8%99%E0%B8%B0-%E0%B8%84%E0%B8%A5%E0%B8%AD%E0%B8%87%E0%B8%AB%E0%B8%A5%E0%B8%A7%E0%B8%8731
12,ฟ้าโดม ใกล้ ม.ธรรมศาสตร์ รังสิต เพียง 6 นาทีUPDATE !,,,"9,000","9,000",2.7,ซ.ทรัพย์ไพลิน ถ.เชียงราก-บางขัน คลองหนึ่ง คลองหลวง ปทุมธานี,https://www.renthub.in.th//%E0%B8%9F%E0%B9%89%E0%B8%B2%E0%B9%82%E0%B8%94%E0%B8%A1-%E0%B9%83%E0%B8%81%E0%B8%A5%E0%B9%89-%E0%B8%A1-%E0%B8%98%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B8%A8%E0%B8%B2%E0%B8%AA%E0%B8%95%E0%B8%A3%E0%B9%8C-%E0%B8%A3%E0%B8%B1%E0%B8%87%E0%B8%AA%E0%B8%B4%E0%B8%95-%E0%B9%80%E0%B8%9E%E0%B8%B5%E0%B8%A2%E0%B8%87-6-%E0%B8%99%E0%B8%B2%E0%B8%97%E0%B8%B5
13,พี พี เฮ้าส์ (ราคาถูกที่สุดในซอย)UPDATE !,,,"4,000","4,000",4.3,ซ.รังสิตภิรมย์ ถ.พหลโยธิน คลองหนึ่ง คลองหลวง ปทุมธานี,https://www.renthub.in.th//%E0%B8%9E%E0%B8%B5-%E0%B8%9E%E0%B8%B5-%E0%B9%80%E0%B8%AE%E0%B9%89%E0%B8%B2%E0%B8%AA%E0%B9%8C-%E0%B8%A3%E0%B8%B2%E0%B8%84%E0%B8%B2%E0%B8%96%E0%B8%B9%E0%B8%81%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%AA%E0%B8%B8%E0%B8%94%E0%B9%83%E0%B8%99%E0%B8%8B%E0%B8%AD%E0%B8%A2
14,นภาแมนชั่นUPDATE !,,,"3,500","4,000",3.9,ถ.ยูงทอง คลองหนึ่ง คลองหลวง ปทุมธานี,https://www.renthub.in.th//%E0%B8%99%E0%B8%A0%E0%B8%B2%E0%B9%81%E0%B8%A1%E0%B8%99%E0%B8%8A%E0%B8%B1%E0%B9%88%E0%B8%99--2
15,อาภากรอพาร์ทเมนท์UPDATE !,,,"2,000","3,000",1.1,ซ.คลองหลวง35 ถ.พหลโยธิน คลองหนึ่ง คลองหลวง ปทุมธานี,https://www.renthub.in.th//%E0%B8%AD%E0%B8%B2%E0%B8%A0%E0%B8%B2%E0%B8%81%E0%B8%A3%E0%B8%AD%E0%B8%9E%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%97%E0%B9%80%E0%B8%A1%E0%B8%99%E0%B8%97%E0%B9%8C--6
16,ที&เจ อพาร์ทเมนท์ หอพักใกล้ตลาดไท นวนคร มีอินเตอร์เน็ต Wi FiUPDATE !,,,"1,700","1,900",3.5,ซ.เทพกุญชร 28 ถ.พหลโยธิน คลองหนึ่ง คลองหลวง ปทุมธานี,https://www.renthub.in.th//%E0%B8%97%E0%B8%B5-%E0%B9%80%E0%B8%88-%E0%B8%AD%E0%B8%9E%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%97%E0%B9%80%E0%B8%A1%E0%B8%99%E0%B8%97%E0%B9%8C-%E0%B8%AB%E0%B8%AD%E0%B8%9E%E0%B8%B1%E0%B8%81%E0%B9%83%E0%B8%81%E0%B8%A5%E0%B9%89%E0%B8%95%E0%B8%A5%E0%B8%B2%E0%B8%94%E0%B9%84%E0%B8%97-%E0%B8%99%E0%B8%A7%E0%B8%99%E0%B8%84%E0%B8%A3-%E0%B8%A1%E0%B8%B5%E0%B8%AD%E0%B8%B4%E0%B8%99%E0%B9%80%E0%B8%95%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B9%80%E0%B8%99%E0%B9%87%E0%B8%95-wi-fi
17,KEYSTONE TUUPDATE !,990,"1,090","8,000","17,000",0.99,ถ.เชียงราก คลองหนึ่ง คลองหลวง ปทุมธานี,https://www.renthub.in.th//keystone-tu
18,Pop Apartment ห้องเช่าคลองหลวงราคาถูกUPDATE !,250,690,"1,500","3,100",1.3,ซ.คลองหลวง 33 หรือเรืองผึ้ง ถ.พหลโยธิน คลองหนึ่ง คลองหลวง ปทุมธานี,https://www.renthub.in.th//pop-apartment-%E0%B8%AB%E0%B9%89%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%8A%E0%B9%88%E0%B8%B2%E0%B8%84%E0%B8%A5%E0%B8%AD%E0%B8%87%E0%B8%AB%E0%B8%A5%E0%B8%A7%E0%B8%87%E0%B8%A3%E0%B8%B2%E0%B8%84%E0%B8%B2%E0%B8%96%E0%B8%B9%E0%B8%81
19,CHATEAU HOTEL & APARTMENTS - โรงแรม ชาโตว์ & อพาร์ทเม้นท์UPDATE !,750,"1,100","5,200","6,200",1,ถ.เชียงรากน้อย คลองหนึ่ง คลองหลวง ปทุมธานี,https://www.renthub.in.th//chateau-hotel-apartments-%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B9%81%E0%B8%A3%E0%B8%A1-%E0%B8%8A%E0%B8%B2%E0%B9%82%E0%B8%95%E0%B8%A7%E0%B9%8C-%E0%B8%AD%E0%B8%9E%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%97%E0%B9%80%E0%B8%A1%E0%B9%89%E0%B8%99%E0%B8%97%E0%B9%8C
20,หอพักหลวงสิริ - หลังม.ธ. เดินไม่ถึง 3 นาทีUPDATE !,650,"1,200","4,000","6,500",4.7,ถ.เชียงราก คลองหนึ่ง คลองหลวง ปทุมธานี,https://www.renthub.in.th//%E0%B8%AB%E0%B8%AD%E0%B8%9E%E0%B8%B1%E0%B8%81%E0%B8%AB%E0%B8%A5%E0%B8%A7%E0%B8%87%E0%B8%AA%E0%B8%B4%E0%B8%A3%E0%B8%B4-%E0%B8%AB%E0%B8%A5%E0%B8%B1%E0%B8%87%E0%B8%A1-%E0%B8%98-%E0%B9%80%E0%B8%94%E0%B8%B4%E0%B8%99%E0%B9%84%E0%B8%A1%E0%B9%88%E0%B8%96%E0%B8%B6%E0%B8%87-3-%E0%B8%99%E0%B8%B2%E0%B8%97%E0%B8%B5
21,หอพักพันธ์ุบุญUPDATE !,,,"1,800","2,200",,ซ.คลองหลวง 64 ถ.พหลโยธิน คลองหนึ่ง คลองหลวง ปทุมธานี,https://www.renthub.in.th//%E0%B8%AB%E0%B8%AD%E0%B8%9E%E0%B8%B1%E0%B8%81%E0%B8%9E%E0%B8%B1%E0%B8%99%E0%B8%98%E0%B9%8C%E0%B8%B8%E0%B8%9A%E0%B8%B8%E0%B8%8D--3cd3050f
22,หอพักสมบูรณ์UPDATE !,,,"1,900","2,000",,ซ.คลองหลวง 64 ถ.พหลโยธิน คลองหนึ่ง คลองหลวง ปทุมธานี,https://www.renthub.in.th//%E0%B8%AB%E0%B8%AD%E0%B8%9E%E0%B8%B1%E0%B8%81%E0%B8%AA%E0%B8%A1%E0%B8%9A%E0%B8%B9%E0%B8%A3%E0%B8%93%E0%B9%8C
23,สุกเขริญ เพลส  (ใกล้ตลาดไท ไอยรา นวนคร) ,,,"2,800","3,700",,ซ.เทพกุญชร 15 ถ.พหลโยธิน คลองหนึ่ง คลองหลวง ปทุมธานี,https://www.renthub.in.th//%E0%B8%AA%E0%B8%B8%E0%B8%81%E0%B9%80%E0%B8%82%E0%B8%A3%E0%B8%B4%E0%B8%8D-%E0%B9%80%E0%B8%9E%E0%B8%A5%E0%B8%AA-%E0%B9%83%E0%B8%81%E0%B8%A5%E0%B9%89%E0%B8%95%E0%B8%A5%E0%B8%B2%E0%B8%94%E0%B9%84%E0%B8%97-%E0%B9%84%E0%B8%AD%E0%B8%A2%E0%B8%A3%E0%B8%B2-%E0%B8%99%E0%B8%A7%E0%B8%99%E0%B8%84%E0%B8%A3
24,K&O Apartment ปทุม คลองสาม,,,"1,800","3,600",6,ซ.คลองสาม 5/9 คลองสาม คลองหลวง ปทุมธานี,https://www.renthub.in.th//k-o-apartment-%E0%B8%9B%E0%B8%97%E0%B8%B8%E0%B8%A1-%E0%B8%84%E0%B8%A5%E0%B8%AD%E0%B8%87%E0%B8%AA%E0%B8%B2%E0%B8%A1
25,หอพัก เจพาร์ค ธรรมศาสตร์ รังสิต,750,"1,100","6,500","21,000",1.1, คลองหนึ่ง คลองหลวง ปทุมธานี,https://www.renthub.in.th//%E0%B8%AB%E0%B8%AD%E0%B8%9E%E0%B8%B1%E0%B8%81-%E0%B9%80%E0%B8%88%E0%B8%9E%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%84-%E0%B8%98%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B8%A8%E0%B8%B2%E0%B8%AA%E0%B8%95%E0%B8%A3%E0%B9%8C-%E0%B8%A3%E0%B8%B1%E0%B8%87%E0%B8%AA%E0%B8%B4%E0%B8%95
26,Good Morning Apartment,690,"1,000","3,000","7,000",0.94,ถ.พหลโยธิน คลองหนึ่ง คลองหลวง ปทุมธานี,https://www.renthub.in.th//good-morning-apartment
